iter	Logloss
0	0.6677640416
1	0.645510853
2	0.6253110839
3	0.6097356597
4	0.5927318183
5	0.5799921831
6	0.5660359869
7	0.5518539754
8	0.5426098075
9	0.5335115894
10	0.5251220398
11	0.5177568884
12	0.5107291519
13	0.5018170972
14	0.4988773331
15	0.4912037192
16	0.4854120215
17	0.4814564648
18	0.4748074788
19	0.4737891322
20	0.4685047332
21	0.4672033774
22	0.4636205035
23	0.4598472507
24	0.4569189883
25	0.4543458987
26	0.4524018395
27	0.4477826011
28	0.4461738665
29	0.4424739911
30	0.4421860803
31	0.4396218004
32	0.4387921207
33	0.4357593539
34	0.4320602575
35	0.4299573873
36	0.4271192725
37	0.4240519879
38	0.4214351258
39	0.4184837651
40	0.4155072036
41	0.4128927567
42	0.4113233179
43	0.4081649527
44	0.4071066244
45	0.4036489019
46	0.4013758091
47	0.3993130692
48	0.3990062864
49	0.3968362068
50	0.3950283375
51	0.3936187462
52	0.3918414267
53	0.3900833478
54	0.3887618893
55	0.3858940513
56	0.3846030443
57	0.3811194928
58	0.3804704897
59	0.3787189071
60	0.3764443861
61	0.3757048424
62	0.3733466329
63	0.3725694207
64	0.370953265
65	0.3705492383
66	0.369105561
67	0.3672980752
68	0.3662346637
69	0.3648124367
70	0.3642042687
71	0.3626151899
72	0.3613361291
73	0.360236975
74	0.3596971042
75	0.3577049258
76	0.356293327
77	0.354814044
78	0.353280882
79	0.3516578088
80	0.3500646649
81	0.3478157238
82	0.3452001323
83	0.3440419818
84	0.3426070405
85	0.3414284341
86	0.3389422925
87	0.3364198853
88	0.3355054877
