iter	Passed	Remaining
0	27	16357
1	54	16361
2	85	17007
3	101	15107
4	132	15759
5	159	15766
6	190	16109
7	220	16334
8	241	15885
9	273	16151
10	307	16468
11	339	16621
12	371	16762
13	403	16902
14	419	16375
15	450	16451
16	482	16550
17	514	16622
18	547	16730
19	558	16203
20	590	16294
21	611	16074
22	655	16436
23	698	16771
24	736	16936
25	779	17200
26	806	17108
27	841	17181
28	864	17028
29	898	17062
30	910	16716
31	949	16861
32	990	17011
33	1027	17098
34	1062	17152
35	1095	17165
36	1128	17171
37	1161	17182
38	1194	17179
39	1227	17188
40	1259	17173
41	1291	17160
42	1323	17141
43	1354	17119
44	1385	17082
45	1416	17056
46	1447	17030
47	1479	17017
48	1490	16765
49	1522	16748
50	1554	16732
51	1586	16719
52	1618	16701
53	1649	16677
54	1693	16777
55	1725	16761
56	1757	16739
57	1789	16719
58	1821	16700
59	1853	16679
60	1885	16657
61	1917	16636
62	1948	16607
63	1979	16582
64	2011	16555
65	2033	16456
66	2066	16441
67	2098	16414
68	2129	16387
69	2160	16354
70	2187	16296
71	2218	16270
72	2250	16250
73	2281	16219
74	2312	16185
75	2344	16165
76	2377	16150
77	2409	16126
78	2439	16090
79	2471	16065
80	2502	16037
81	2534	16011
82	2566	15989
83	2598	15964
84	2631	15942
85	2663	15917
86	2695	15893
87	2727	15866
88	2759	15841
